,GPA,GRE_Verbal,GRE_Quantitative,GRE_Writing,GRE_Subject,American,Papers,Research,Decision,GPA_rev,GRE_Verbal_rev,GRE_Quantitative_rev,GRE_Writing_rev,GRE_Subject_rev,Decision_rev,GPA_log,GRE_Verbal_log,GRE_Quantitative_log,GRE_Writing_log,GRE_Subject_log,GPA_sq,GRE_Verbal_sq,GRE_Quantitative_sq,GRE_Writing_sq,GRE_Subject_sq,GRE_Verbal_pc,GRE_Quantitative_pc,GRE_Writing_pc,GRE_Subject_pc,GREVxGREQ,GREVxGRES,GREQxGRES,GREVxGREQxGRES
286,3.28,153.0,156.0,4.0,630.0,1,1.0,1.0,0,0.7200000000000002,17.0,14.0,1.0,360.0,1,0.23552844690754896,1.2552725051033058,1.1760912590556811,0.30102999566398114,2.5575072019056577,10.758399999999998,23409.0,24336.0,16.0,396900.0,0.6368083946962848,0.637015583908811,0.7172571725110044,0.3018847842297733,154.4927182750048,310.4673895918861,313.4964114627151,246.82294293076492
287,3.7,155.0,170.0,4.0,880.0,0,0.0,0.0,0,0.2999999999999998,15.0,0.0,1.0,110.0,1,0.11394335230683669,1.2041199826559246,0.0,0.30102999566398114,2.045322978786657,13.690000000000001,24025.0,28900.0,16.0,774400.0,0.7214614801239139,0.9702106965136724,0.7172571725110044,0.8561750288932115,162.32683080747927,369.32370625238775,386.78159211627434,285.1594470461601
288,3.52,160.0,169.0,3.5,990.0,0,0.0,0.0,0,0.48,10.0,1.0,1.5,0.0,1,0.17026171539495735,1.041392685158225,0.30102999566398114,0.3979400086720376,0.0,12.3904,25600.0,28561.0,12.25,980100.0,0.881061215205243,0.9619990328130503,0.5,0.9607531528428073,164.43843832875572,397.99497484264805,409.03545078635915,299.14422783452596
289,3.7,154.0,158.0,4.0,640.0,1,0.0,0.0,0,0.2999999999999998,16.0,12.0,1.0,350.0,1,0.11394335230683669,1.2304489213782739,1.1139433523068367,0.30102999566398114,2.545307116465824,13.690000000000001,23716.0,24964.0,16.0,409600.0,0.6803095750532786,0.7155088412489986,0.7172571725110044,0.32430422656009067,155.98717896032355,313.9426699255774,317.9937106296287,249.71957890698195
290,3.52,160.0,169.0,3.5,990.0,0,0.0,0.0,0,0.48,10.0,1.0,1.5,0.0,1,0.17026171539495735,1.041392685158225,0.30102999566398114,0.3979400086720376,0.0,12.3904,25600.0,28561.0,12.25,980100.0,0.881061215205243,0.9619990328130503,0.5,0.9607531528428073,164.43843832875572,397.99497484264805,409.03545078635915,299.14422783452596
291,3.8,161.0,169.0,4.0,910.0,0,0.0,0.0,1,0.20000000000000018,9.0,1.0,1.0,80.0,0,0.07918124604762489,1.0,0.30102999566398114,0.30102999566398114,1.9084850188786497,14.44,25921.0,28561.0,16.0,828100.0,0.9030164326359974,0.9619990328130503,0.7172571725110044,0.8949270871089533,164.95150802584376,382.76624720578485,392.1606813539573,291.4638234072459
292,3.96,159.0,157.0,3.0,760.0,1,0.0,0.0,0,0.040000000000000036,11.0,13.0,2.0,230.0,1,0.017033339298780367,1.0791812460476247,1.1461280356782377,0.47712125471966244,2.363611979892144,15.6816,25281.0,24649.0,9.0,577600.0,0.8558105218404848,0.6772497514907866,0.28274282748899554,0.6193589021984933,157.99683541134613,347.6204827106711,345.4272716506327,266.70845872777414
293,3.99,170.0,169.0,4.0,850.0,1,0.0,1.0,1,0.009999999999999787,0.0,1.0,1.0,140.0,0,0.004321373782642482,0.0,0.30102999566398114,0.30102999566398114,2.1492191126553797,15.920100000000001,28900.0,28561.0,16.0,722500.0,0.9910225781164435,0.9619990328130503,0.7172571725110044,0.8087822824308813,169.49926253526888,380.13155617496426,379.0118731649445,290.1247976547
294,3.71,151.0,168.0,3.0,980.0,0,0.0,0.0,1,0.29000000000000004,19.0,2.0,2.0,10.0,0,0.11058971029924895,1.301029995663981,0.47712125471966244,0.47712125471966244,1.041392685158225,13.7641,22801.0,28224.0,9.0,960400.0,0.5448629308773866,0.9520277773999577,0.28274282748899554,0.9550762344033806,159.27334993651638,384.6816865929544,405.7585488933043,291.8574396366923
295,3.76,165.0,170.0,5.0,980.0,0,0.0,0.0,1,0.2400000000000002,5.0,0.0,0.0,10.0,0,0.09342168516223515,0.7781512503836435,0.0,0.0,1.041392685158225,14.137599999999999,27225.0,28900.0,25.0,960400.0,0.9619211128879195,0.9702106965136724,0.9576585270212108,0.9550762344033806,167.4813422444423,402.11938525766203,408.1666326391711,301.80028606772544
296,4.0,170.0,170.0,4.5,960.0,1,0.0,0.0,1,0.0,0.0,0.0,0.5,30.0,0,0.0,0.0,0.0,0.17609125905568124,1.4913616938342726,16.0,28900.0,28900.0,20.25,921600.0,0.9910225781164435,0.9702106965136724,0.8748096710720308,0.9417482580799732,170.00000000000003,403.9801975344832,403.9801975344832,302.7306257565503
297,4.0,166.0,160.0,4.5,720.0,1,0.0,1.0,1,0.0,4.0,10.0,0.5,270.0,0,0.0,0.6989700043360187,1.041392685158225,0.17609125905568124,2.4329692908744054,16.0,27556.0,25600.0,20.25,518400.0,0.9707579865563762,0.7848297100132327,0.8748096710720308,0.5201909815238588,162.97239029970692,345.7166469813104,339.4112549695428,267.4156720242496
298,3.89,164.0,170.0,5.0,910.0,1,0.0,0.0,1,0.10999999999999988,6.0,0.0,0.0,80.0,0,0.045322978786657385,0.8450980400142567,0.0,0.0,1.9084850188786497,15.132100000000001,26896.0,28900.0,25.0,828100.0,0.9510178962672838,0.9702106965136724,0.9576585270212108,0.8949270871089533,166.97305171793442,386.3159328839545,393.31920878594275,293.8403192917245
299,3.0,163.0,162.0,5.0,680.0,1,0.0,0.0,0,1.0,7.0,8.0,0.0,310.0,1,0.30102999566398114,0.9030899869919434,0.9542425094393249,0.0,2.492760389026837,9.0,26569.0,26244.0,25.0,462400.0,0.9377529179219154,0.8431928314407704,0.9576585270212108,0.41975056070019623,162.4992307674101,332.9264182968964,331.903600462544,261.86081218715
300,3.8,164.0,169.0,4.0,900.0,0,0.0,0.0,1,0.20000000000000018,6.0,1.0,1.0,90.0,0,0.07918124604762489,0.8450980400142567,0.30102999566398114,0.30102999566398114,1.9590413923210932,14.44,26896.0,28561.0,16.0,810000.0,0.9510178962672838,0.9619990328130503,0.7172571725110044,0.8829519260907763,166.48123017325406,384.1874542459709,390.0,292.18484574404505
301,3.94,163.0,165.0,5.0,700.0,1,0.0,1.0,1,0.06000000000000005,7.0,5.0,0.0,290.0,0,0.025305865264770258,0.9030899869919434,0.7781512503836435,0.0,2.4638929889859074,15.5236,26569.0,27225.0,25.0,490000.0,0.9377529179219154,0.9092668843960745,0.9576585270212108,0.4697296904953077,163.99695119117305,337.7869150810907,339.8529093593286,266.02545594661143
302,3.6,156.0,170.0,4.0,850.0,0,1.0,0.0,0,0.3999999999999999,14.0,0.0,1.0,140.0,1,0.14612803567823798,1.1760912590556811,0.0,0.30102999566398114,2.1492191126553797,12.96,24336.0,28900.0,16.0,722500.0,0.7598476492929147,0.9702106965136724,0.7172571725110044,0.8087822824308813,162.84962388657829,364.1428291206625,380.13155617496426,282.48635953664774
303,3.7,161.0,163.0,4.0,890.0,0,0.0,0.0,0,0.2999999999999998,9.0,7.0,1.0,100.0,1,0.11394335230683669,1.0,0.9030899869919434,0.30102999566398114,2.0043213737826426,13.690000000000001,25921.0,26569.0,16.0,792100.0,0.9030164326359974,0.8680447469116805,0.7172571725110044,0.8700404323764948,161.99691355084514,378.5366560849821,380.8805587057444,285.8475641288814
304,3.58,159.0,160.0,4.0,610.0,1,1.0,1.0,0,0.41999999999999993,11.0,10.0,1.0,380.0,1,0.15228834438305644,1.0791812460476247,1.041392685158225,0.30102999566398114,2.580924975675619,12.8164,25281.0,25600.0,16.0,372100.0,0.8558105218404848,0.7848297100132327,0.7172571725110044,0.25927905859573896,159.4992162990151,311.432175601687,312.40998703626616,249.43016882320504
305,3.58,159.0,160.0,4.0,610.0,1,1.0,1.0,0,0.41999999999999993,11.0,10.0,1.0,380.0,1,0.15228834438305644,1.0791812460476247,1.041392685158225,0.30102999566398114,2.580924975675619,12.8164,25281.0,25600.0,16.0,372100.0,0.8558105218404848,0.7848297100132327,0.7172571725110044,0.25927905859573896,159.4992162990151,311.432175601687,312.40998703626616,249.43016882320504
306,3.97,159.0,168.0,4.0,950.0,1,0.0,0.0,0,0.029999999999999805,11.0,2.0,1.0,40.0,1,0.012837224705172122,1.0791812460476247,0.47712125471966244,0.30102999566398114,1.6127838567197355,15.760900000000001,25281.0,28224.0,16.0,902500.0,0.8558105218404848,0.9520277773999577,0.7172571725110044,0.9340086460688118,163.43806166251483,388.6515148561755,399.49968710876357,293.8619371192287
307,3.68,145.0,166.0,2.5,810.0,0,0.0,0.0,0,0.31999999999999984,25.0,4.0,2.5,180.0,1,0.12057393120584982,1.414973347970818,0.6989700043360187,0.5440680443502756,2.2576785748691846,13.5424,21025.0,27556.0,6.25,656100.0,0.2745694351299801,0.925880980722691,0.12519032892796927,0.7324544377016285,155.145093380358,342.7097897638759,366.68787817434054,269.14544632759504
308,3.88,168.0,167.0,4.5,870.0,1,1.0,0.0,0,0.1200000000000001,2.0,3.0,0.5,120.0,1,0.049218022670181646,0.47712125471966244,0.6020599913279623,0.17609125905568124,2.08278537031645,15.0544,28224.0,27889.0,20.25,756900.0,0.9833852809990719,0.9400641283807901,0.8748096710720308,0.8413447460685429,167.49925372968085,382.3087757297758,381.16925374431764,290.07813986303466
309,3.6,159.0,168.0,4.5,860.0,1,0.0,0.0,0,0.3999999999999999,11.0,2.0,0.5,130.0,1,0.14612803567823798,1.0791812460476247,0.47712125471966244,0.17609125905568124,2.117271295655764,12.96,25281.0,28224.0,20.25,739600.0,0.8558105218404848,0.9520277773999577,0.8748096710720308,0.825545831442992,163.43806166251483,369.78372057190404,380.1052485825472,284.2725677855979
310,3.89,164.0,170.0,5.0,910.0,1,0.0,0.0,1,0.10999999999999988,6.0,0.0,0.0,80.0,0,0.045322978786657385,0.8450980400142567,0.0,0.0,1.9084850188786497,15.132100000000001,26896.0,28900.0,25.0,828100.0,0.9510178962672838,0.9702106965136724,0.9576585270212108,0.8949270871089533,166.97305171793442,386.3159328839545,393.31920878594275,293.8403192917245
311,3.2,161.0,155.0,4.0,490.0,1,0.0,1.0,0,0.7999999999999998,9.0,15.0,1.0,500.0,1,0.255272505103306,1.0,1.2041199826559246,0.30102999566398114,2.6998377258672455,10.240000000000002,25921.0,24025.0,16.0,240100.0,0.9030164326359974,0.5952084348070098,0.7172571725110044,0.08000122935349824,157.97151641989134,280.8736370683443,275.5902755904134,230.38341844321968
312,3.77,154.0,160.0,4.5,790.0,1,0.0,0.0,0,0.22999999999999998,16.0,10.0,0.5,200.0,1,0.08990511143939792,1.2304489213782739,1.041392685158225,0.17609125905568124,2.3031960574204886,14.2129,23716.0,25600.0,20.25,624100.0,0.6803095750532786,0.7848297100132327,0.8748096710720308,0.6892306851715879,156.9713349627887,348.7979357737084,355.5277766926236,269.00226178867814
313,4.0,159.0,162.0,4.0,750.0,1,1.0,0.0,0,0.0,11.0,8.0,1.0,240.0,1,0.0,1.0791812460476247,0.9542425094393249,0.30102999566398114,2.382017042574868,16.0,25281.0,26244.0,16.0,562500.0,0.8558105218404848,0.8431928314407704,0.7172571725110044,0.5950311213424182,160.49299050114305,345.3259329966402,348.5685011586675,268.32293809846607
314,3.8,164.0,169.0,4.0,900.0,0,0.0,0.0,0,0.20000000000000018,6.0,1.0,1.0,90.0,1,0.07918124604762489,0.8450980400142567,0.30102999566398114,0.30102999566398114,1.9590413923210932,14.44,26896.0,28561.0,16.0,810000.0,0.9510178962672838,0.9619990328130503,0.7172571725110044,0.8829519260907763,166.48123017325406,384.1874542459709,390.0,292.18484574404505
315,3.8,151.0,169.0,3.0,910.0,0,0.0,0.0,0,0.20000000000000018,19.0,1.0,2.0,80.0,1,0.07918124604762489,1.301029995663981,0.30102999566398114,0.47712125471966244,1.9084850188786497,14.44,22801.0,28561.0,9.0,828100.0,0.5448629308773866,0.9619990328130503,0.28274282748899554,0.8949270871089533,159.7466744567786,370.68854851478756,392.1606813539573,285.2999407137655
316,3.88,159.0,165.0,4.0,960.0,0,0.0,0.0,1,0.1200000000000001,11.0,5.0,1.0,30.0,0,0.049218022670181646,1.0791812460476247,0.7781512503836435,0.30102999566398114,1.4913616938342726,15.0544,25281.0,27225.0,16.0,921600.0,0.8558105218404848,0.9092668843960745,0.7172571725110044,0.9417482580799732,161.97221984031705,390.69169430639295,397.994974842648,293.12358743217817
317,4.0,162.0,163.0,4.5,750.0,0,0.0,1.0,1,0.0,8.0,7.0,0.5,240.0,0,0.0,0.9542425094393249,0.9030899869919434,0.17609125905568124,2.382017042574868,16.0,26244.0,26569.0,20.25,562500.0,0.9218398336491003,0.8680447469116805,0.8748096710720308,0.5950311213424182,162.4992307674101,348.5685011586675,349.64267474094174,270.554416341228
318,3.97,159.0,168.0,4.0,950.0,1,0.0,0.0,0,0.029999999999999805,11.0,2.0,1.0,40.0,1,0.012837224705172122,1.0791812460476247,0.47712125471966244,0.30102999566398114,1.6127838567197355,15.760900000000001,25281.0,28224.0,16.0,902500.0,0.8558105218404848,0.9520277773999577,0.7172571725110044,0.9340086460688118,163.43806166251483,388.6515148561755,399.49968710876357,293.8619371192287
319,3.79,163.0,166.0,4.0,930.0,0,0.0,0.0,0,0.20999999999999996,7.0,4.0,1.0,60.0,1,0.08278537031645007,0.9030899869919434,0.6989700043360187,0.30102999566398114,1.785329835010767,14.3641,26569.0,27556.0,16.0,864900.0,0.9377529179219154,0.925880980722691,0.7172571725110044,0.9161676965266359,164.49316095205904,389.3456048294368,392.91220393365234,293.03953308009943
320,3.98,161.0,170.0,4.5,910.0,0,0.0,0.0,1,0.020000000000000018,9.0,0.0,0.5,80.0,0,0.008600171761917567,1.0,0.0,0.17609125905568124,1.9084850188786497,15.8404,25921.0,28900.0,20.25,828100.0,0.9030164326359974,0.9702106965136724,0.8748096710720308,0.8949270871089533,165.43881044059765,382.76624720578485,393.31920878594275,292.0375725718527
321,3.92,159.0,170.0,4.0,990.0,0,0.0,0.0,1,0.08000000000000007,11.0,0.0,1.0,0.0,0,0.03342375548694973,1.0791812460476247,0.0,0.30102999566398114,0.0,15.366399999999999,25281.0,28900.0,16.0,980100.0,0.8558105218404848,0.9702106965136724,0.7172571725110044,0.9607531528428073,164.40802900101932,396.7492911146786,410.2438299353203,299.10734653371645
